adventist-discovery-park,Adventist DISCovery Park,Opelika,Alabama,3,32.6454116,-85.3782795
agape-disc-golf-course,Agape Disc Golf Course,Scottsboro,Alabama,9,34.6228192,-86.08069190000000
aggieland-disc-golf,Aggieland Disc Golf,Hamilton,Alabama,18,34.1423235,-87.98864380000000
agricultural-heritage-park,Agricultural Heritage Park,Auburn,Alabama,9,32.5944595,-85.49233440000000
arab-city-park-844-shoal-creek-trail-35016,Arab City Park,Arab,Alabama,18,34.3178353,-86.48182780000000
asbury-umc-disc-golf-course,Asbury UMC Disc Golf Course,Madison,Alabama,9,34.7345,-86.703071
athens-state-university,Athens State University,Athens,Alabama,9,34.8055801,-86.9645309
auburn-university-montgomery-aum,Auburn University Montgomery (AUM),Montgomery,Alabama,22,32.3697457,-86.1766584
baker-high-school,Baker High School,Mobile,Alabama,9,30.6695103,-88.25222150000000
bowers-park,Bowers Park,Tuscaloosa,Alabama,18,33.1771041,-87.5113813
brahan-springs-park,Brahan Springs Park,Huntsville,Alabama,18,34.7053182,-86.6003214
brush-creek-park,Brush Creek Park,Waterloo,Alabama,18,34.9039299,-87.9881374
burnt-corn-creek-park,Burnt Corn Creek Park,Brewton,Alabama,9,31.1538647,-87.08579140000000
calhoun-huntsville-campus-disc-golf-course,Calhoun Huntsville Campus Disc Golf Course,Huntsville,Alabama,6,34.6824569,-86.6387445
camp-127,Camp 1:27,Clanton,Alabama,18,32.8492509,-86.51573910000000
capital-city-disc-golf-course-0,Capital City Disc Golf Course,St. Stephens,Alabama,18,31.5561333,-88.0376136
casture-pattle-dgc,Casture Pattle Disc Golf Course,Lanett,Alabama,18,32.8475631,-85.2552697
chapman-pines-disc-golf-course,Chapman Pines Disc Golf Course,Huntsville,Alabama,18,34.7734165,-86.54733570000000
chickasabogue-county-park-new-ridge,Chickasabogue County Park - New Ridge,Eight Mile,Alabama,18,30.7792176,-88.10728920000000
chickasabogue-county-park,Chickasabogue County Park - Original,Eight Mile,Alabama,18,30.7792176,-88.10728920000000
chickasaw-community-park,Chickasaw Community Park,Chickasaw,Alabama,18,30.76483,-88.07426510000000
choccolocco-park,Choccolocco Park,Oxford,Alabama,18,33.6006433,-85.7865571
citronelle-municipal-park,Citronelle Municipal Park,Citronelle,Alabama,18,31.066847,-88.3166768
clanton-disc-golf-course,Clanton Disc Golf Course,Clanton,Alabama,18,32.8434961,-86.62691680000000
clay-disc-golf-course,Clay Disc Golf Course,Clay,Alabama,21,33.7142894,-86.57751040000000
cottage-hill-park,Cottage Hill Park,Mobile,Alabama,18,30.6564487,-88.1858075
creola-city-park,Creola City Park,Creola,Alabama,18,30.8920993,-88.0378195
daphne-central-park,Daphne Central Park,Daphne,Alabama,18,30.6488356,-87.9027959
diamond-disc-golf,Diamond Disc Golf,Cottonwood,Alabama,9,31.0699391,-85.37537010000000
disc-golf-kymulga,Disc Golf Kymulga,Childersburg,Alabama,18,33.6302375,-86.6022886
drake-springs,Drake Springs,Huntsville,Alabama,9,34.7053182,-86.6003214
dublin-park,Dublin Park,Madison,Alabama,9,34.7093546,-86.7351659
elkahatchee-state-park,Elkahatchee State Park,Alexander City,Alabama,9,32.926169,-85.96638950000000
fairhope-municipal-park,Fairhope Municipal Park,Fairhope,Alabama,20,30.5240334,-87.91218100000000
fairview-park-disc-golf-course,Fairview Park Disc Golf Course,Fairview,Alabama,18,34.2530802,-86.6887503
faith-church,Faith Church,Florence,Alabama,3,34.8434384,-87.5998104
faulkner-state-community-college,Faulkner State Community College,Bay Minette,Alabama,18,30.8516838,-87.777356
